country_name_norm,AQI Value,CO AQI Value,Ozone AQI Value,NO2 AQI Value,PM2.5 AQI Value,co2_emission_kt_avg_2017_2019,co2_emission_kt_2019
afghanistan,95.95918367346938,0.5918367346938775,40.183673469387756,0.02040816326530612,95.91836734693878,5643.333435058594,6079.99992370605
albania,68.25,1.0,42.0625,0.71875,68.09375,5026.666641235351,4829.99992370605
algeria,88.16666666666667,1.9166666666666667,47.166666666666664,9.333333333333334,80.25,165043.32987467467,171250.0
andorra,29.333333333333332,0.6666666666666666,29.333333333333332,0.0,22.0,486.6666694482167,500.0
angola,83.92592592592592,3.1481481481481484,22.703703703703702,1.8888888888888888,81.92592592592592,24473.3327229818,25209.9990844727
argentina,28.235294117647058,0.35294117647058826,15.485294117647058,1.5441176470588236,24.86764705882353,174773.33577473965,168100.006103516
armenia,53.63636363636363,0.8636363636363636,34.36363636363637,0.09090909090909091,52.59090909090909,5750.0,6170.00007629395
australia,33.6,0.21176470588235294,22.058823529411764,3.1176470588235294,27.36470588235294,387586.669921875,386529.998779297
austria,53.720588235294116,0.9411764705882353,35.970588235294116,1.1029411764705883,52.35294117647059,64563.33287556967,64769.9966430664
azerbaijan,58.76315789473684,1.0,37.28947368421053,0.0,57.5,33399.9989827474,35509.9983215332
bahrain,188.0,2.0,127.0,3.0,188.0,31529.99941507977,33259.9983215332
bangladesh,113.4625,2.4375,46.2,3.0375,112.7875,84509.99704996742,90739.9978637695
barbados,73.0,0.0,24.0,0.0,73.0,1223.3333190282167,1250.0
belarus,38.45454545454545,0.9090909090909091,33.45454545454545,0.3181818181818182,28.59090909090909,57543.332417806,57669.9981689453
belgium,44.58098591549296,0.926056338028169,30.133802816901408,3.23943661971831,44.50704225352113,93130.00233968098,93010.0021362305
belize,46.333333333333336,1.0,24.0,0.0,45.333333333333336,636.666655540466,639.999985694885
benin,67.11111111111111,1.5555555555555556,19.925925925925927,0.8148148148148148,67.11111111111111,7196.666717529297,7300.00019073486
bhutan,26.0,1.0,21.0,0.0,26.0,1023.3333110809298,1049.99995231628
bolivia,23.78787878787879,0.48484848484848486,8.333333333333334,0.21212121212121213,23.242424242424242,22773.333231608067,22340.0001525879
bosnia and herzegovina,60.55555555555556,1.0,36.55555555555556,0.16666666666666666,60.083333333333336,22116.66679382323,21069.9996948242
botswana,43.578947368421055,0.8421052631578947,20.36842105263158,0.42105263157894735,42.31578947368421,7296.6666221618625,7250.0
brazil,44.57490396927017,1.0044814340588988,12.479513444302176,2.2720870678617158,44.023047375160054,441593.3227539063,434299.987792969
bulgaria,54.261538461538464,1.0307692307692307,40.76923076923077,0.7076923076923077,51.12307692307692,41306.66732788083,39139.9993896484
burkina faso,51.588235294117645,1.1470588235294117,19.058823529411764,0.4411764705882353,51.588235294117645,4646.666685740153,5000.0
burundi,62.69230769230769,2.6153846153846154,21.384615384615383,0.6923076923076923,62.69230769230769,646.666665871938,720.000028610229
cambodia,45.25,0.5833333333333334,21.5,0.4166666666666667,45.25,14483.333269755067,16180.0003051758
cameroon,69.015625,2.328125,17.046875,0.421875,69.015625,9396.666844685873,9430.00030517578
canada,43.262411347517734,1.0638297872340425,27.28368794326241,2.5815602836879434,38.90780141843972,576126.688639323,580210.021972656
cape verde,38.0,0.0,38.0,0.0,27.0,616.6666547457377,649.999976158142
central african republic,64.16666666666667,2.0,12.233333333333333,0.0,64.16666666666667,229.99999920527134,239.999994635582
chad,75.33333333333333,1.5757575757575757,19.21212121212121,0.15151515151515152,75.33333333333333,2196.6667175292964,2250.0
chile,87.85185185185185,3.802469135802469,10.049382716049383,8.592592592592593,87.06172839506173,88350.00101725261,91370.002746582
china,126.95345911949686,3.4176100628930817,88.31949685534592,7.09308176100629,111.70314465408805,10435386.393229166,10707219.7265625
colombia,66.068,1.704,9.776,3.396,66.016,78206.66503906246,81040.0009155273
comoros,33.0,0.0,27.333333333333332,0.0,32.0,300.0000019868217,319.999992847443
costa rica,58.81578947368421,1.5,12.447368421052632,6.921052631578948,58.81578947368421,8289.999961853027,8239.99977111816
croatia,57.935483870967744,1.032258064516129,42.67741935483871,0.6129032258064516,52.903225806451616,16786.6668701172,16520.0004577637
cuba,63.07142857142857,0.9285714285714286,24.816326530612244,1.8673469387755102,61.86734693877551,26286.666234334334,25909.9998474121
cyprus,50.833333333333336,1.0,50.666666666666664,0.16666666666666666,35.333333333333336,7250.0,7190.00005722046
czechia,60.90551181102362,0.9448818897637795,35.653543307086615,1.7874015748031495,60.62204724409449,99673.3347574871,96290.0009155273
denmark,38.016666666666666,0.5,35.833333333333336,0.55,27.4,31986.66763305663,29700.0007629395
dominican republic,108.07894736842105,1.8157894736842106,17.63157894736842,6.973684210526316,108.07894736842105,25363.332748413068,27229.9995422363
ecuador,45.333333333333336,1.1515151515151516,10.666666666666666,2.6363636363636362,45.25757575757576,39326.66651407874,39290.0009155273
el salvador,97.36363636363636,2.5757575757575757,13.636363636363637,9.393939393939394,97.36363636363636,6996.6667493184395,7800.00019073486
equatorial guinea,45.25,1.25,24.0,0.0,45.25,5859.999974568684,5349.99990463257
eritrea,99.2,1.0,31.4,0.0,99.2,816.6666825612383,879.999995231628
estonia,38.833333333333336,1.1666666666666667,31.75,1.25,28.083333333333332,14069.999694824233,10180.0003051758
ethiopia,78.73170731707317,0.975609756097561,21.609756097560975,0.04878048780487805,78.73170731707317,17140.000025431335,18360.0006103516
finland,38.370370370370374,1.0740740740740742,31.691358024691358,1.8641975308641976,21.62962962962963,42770.0004577637,40709.9990844727
